,time,cost,cost_baseline,exact_gs
0,48.0,-422.7477028404393,-422.7477028404393,-422.7477028404393
1,68.0,-422.7477028404393,-422.7477028404393,-422.7477028404393
2,96.0,-422.7477028404393,-422.7477028404393,-422.7477028404393
3,132.0,-422.7477028404393,-422.7477028404393,-422.7477028404393
4,184.0,-422.7477028404393,-422.7477028404393,-422.7477028404393
5,256.0,-422.7477028404393,-422.7477028404393,-422.7477028404393
6,356.0,-422.7477028404393,-422.7477028404393,-422.7477028404393
7,500.0,-422.7477028404393,-422.7477028404393,-422.7477028404393
